"","authoryear","latitude","longitude"
"115","kaonga_2009",-13.65,32.5666666666666
"116","kaonga_2009",-13.65,32.5666666666666
"117","kaonga_2009",-13.65,32.5666666666666
"118","kaonga_2009",-13.65,32.5666666666666
"119","kaonga_2009",-13.65,32.5666666666666
"120","kaonga_2009",-13.65,32.5666666666666
"121","kaonga_2009",-13.65,32.5666666666666
"122","kaonga_2009",-13.65,32.5666666666666
"123","kaonga_2009",-13.65,32.5666666666666
"124","kaonga_2009",-13.65,32.5666666666666
"125","kaonga_2009",-13.65,32.5666666666666
"126","kaonga_2009",-13.65,32.5666666666666
"127","kaonga_2009",-13.65,32.5666666666666
"128","kaonga_2009",-13.65,32.5666666666666
"129","kaonga_2009",-13.65,32.5666666666666
"130","kaonga_2009",-13.65,32.5666666666666
"131","kaonga_2009",-13.65,32.5666666666666
"132","kaonga_2009",-13.65,32.5666666666666
"133","kaonga_2009",-13.65,32.5666666666666
"134","kaonga_2009",-13.65,32.5666666666666
"135","kaonga_2009",-13.65,32.5666666666666
"136","kaonga_2009",-13.65,32.5666666666666
"137","kaonga_2009",-13.65,32.5666666666666
"138","kaonga_2009",-13.65,32.5666666666666
"139","kaonga_2009",-13.65,32.5666666666666
"140","kaonga_2009",-13.65,32.5666666666666
"141","kaonga_2009",-13.65,32.5666666666666
"142","kaonga_2009",-13.65,32.5666666666666
"143","kaonga_2009",-13.65,32.5666666666666
"144","kaonga_2009",-13.65,32.5666666666666
"145","kaonga_2009",-13.65,32.5666666666666
"146","kaonga_2009",-13.65,32.5666666666666
"147","kaonga_2009",-13.65,32.5666666666666
"148","kaonga_2009",-13.65,32.5666666666666
"149","kaonga_2009",-13.65,32.5666666666666
"150","kaonga_2009",-13.65,32.5666666666666
"151","kaonga_2009",-13.65,32.5666666666666
"152","kaonga_2009",-13.65,32.5666666666666
"153","kaonga_2009",-13.65,32.5666666666666
"154","kaonga_2009",-13.65,32.5666666666666
"155","kaonga_2009",-13.65,32.5666666666666
"156","kaonga_2009",-13.65,32.5666666666666
"157","kaonga_2009",-13.65,32.5666666666666
"158","kaonga_2009",-13.65,32.5666666666666
"159","kaonga_2009",-13.65,32.5666666666666
"160","kaonga_2009",-13.65,32.5666666666666
"161","kaonga_2009",-13.65,32.5666666666666
"162","kaonga_2009",-13.65,32.5666666666666
"163","kaonga_2009",-13.65,32.5666666666666
"164","kaonga_2009",-13.65,32.5666666666666
"165","kaonga_2009",-13.65,32.5666666666666
"166","kaonga_2009",-13.65,32.5666666666666
"167","kaonga_2009",-13.65,32.5666666666666
"168","kaonga_2009",-13.65,32.5666666666666
"169","kaonga_2009",-13.65,32.5666666666666
"170","kaonga_2009",-13.65,32.5666666666666
"171","kaonga_2009",-13.65,32.5666666666666
"172","kaonga_2009",-13.65,32.5666666666666
"173","kaonga_2009",-13.65,32.5666666666666
"174","kaonga_2009",-13.65,32.5666666666666
"175","kaonga_2009",-13.65,32.5666666666666
"176","kaonga_2009",-13.65,32.5666666666666
"177","kaonga_2009",-13.65,32.5666666666666
"178","kaonga_2009",-13.65,32.5666666666666
"179","kaonga_2009",-13.65,32.5666666666666
"180","kaonga_2009",-13.65,32.5666666666666
"181","kaonga_2009",-13.65,32.5666666666666
"182","kaonga_2009",-13.65,32.5666666666666
"183","kaonga_2009",-13.65,32.5666666666666
"184","kaonga_2009",-13.65,32.5666666666666
"185","kaonga_2009",-13.65,32.5666666666666
