"","SOC sequestration","SOC stocks"
"Full",0.620032760795296,0.821322007916911
"No previous stocks",0.628593641183991,0.747765946036244
"No age",0.604812117821791,0.74223643594333
"Minimal",0.599019286785893,0.695098495941202
