"","!discarded","profile_ID","ID","Author_year","Site_name","Country","Region","Longitude","Latitude","Altitude_masl","Mean_annual_rainfall_mm","Mean_annual_temperature_C","Climate_Köppen","Soil_type_WRB/FAO","Sand","Silt","Clay","Texture","pH","Depth_cm","Layer_deep","Initial_depth","Final_depth","Reference_depth","AFS_description","AFS_classification","AFS_crop_density_ha","AFS_tree_density_ha","Crop_species","Tree_species","Previous_land_use","Experimental_design","AFS_age_yrs","AFS_Stock_t_ha","AFS_SE_t_ha","Control_type","Control_Stock_ton_ha","Control_SE_t_ha","pH_flag","texture_flag","C_stocks_delta_t_ha","C_stocks_delta_procent"
"11",FALSE,"169",11,"iwata_2021","Bela Cruz - Ceará","Brazil","South_America",-40.22,-3.01,50,1097,24,"Bsh","Acrisols",NA,NA,NA,NA,NA,10,"0-10",0,10,5,"FIRE + Gliricidia sepium plants and bio-compost organic residues","silvoarable",NA,NA,"maize (Zea mays L.) and cowpea (Vigna unguiculata L. Walp)","Gliciridia sepium (Jacq.) Steud. + cashew (Anacardium occidental L.)","shrubland","synchronic",6,1.05,NA,"FIRE + Gliricidia sepium plants",1.55,NA,0,0,-0.5,-32.258064516129
"12",FALSE,"169",12,"iwata_2021","Bela Cruz - Ceará","Brazil","South_America",-40.22,-3.01,50,1097,24,"Bsh","Acrisols",NA,NA,NA,NA,NA,10,"10-20",10,20,15,"FIRE + Gliricidia sepium plants and bio-compost organic residues","silvoarable",NA,NA,"maize (Zea mays L.) and cowpea (Vigna unguiculata L. Walp)","Gliciridia sepium (Jacq.) Steud. + cashew (Anacardium occidental L.)","shrubland","synchronic",6,3.07,NA,"FIRE + Gliricidia sepium plants",3.15,NA,0,0,-0.0800000000000001,-2.53968253968254
"13",FALSE,"169",13,"iwata_2021","Bela Cruz - Ceará","Brazil","South_America",-40.22,-3.01,50,1097,24,"Bsh","Acrisols",NA,NA,NA,NA,NA,20,"20-40",20,40,30,"FIRE + Gliricidia sepium plants and bio-compost organic residues","silvoarable",NA,NA,"maize (Zea mays L.) and cowpea (Vigna unguiculata L. Walp)","Gliciridia sepium (Jacq.) Steud. + cashew (Anacardium occidental L.)","shrubland","synchronic",6,3.22,NA,"FIRE + Gliricidia sepium plants",3.22,NA,0,0,0,0
"14",FALSE,"169",14,"iwata_2021","Bela Cruz - Ceará","Brazil","South_America",-40.22,-3.01,50,1097,24,"Bsh","Acrisols",NA,NA,NA,NA,NA,10,"0-10",0,10,5,"FIRE + Gliricidia sepium plants and carnauba processing residue","silvoarable",NA,NA,"maize (Zea mays L.) and cowpea (Vigna unguiculata L. Walp)","Gliciridia sepium (Jacq.) Steud. + cashew (Anacardium occidental L.)","shrubland","synchronic",6,1.42,NA,"FIRE + Gliricidia sepium plants",1.55,NA,0,0,-0.13,-8.38709677419356
"15",FALSE,"169",15,"iwata_2021","Bela Cruz - Ceará","Brazil","South_America",-40.22,-3.01,50,1097,24,"Bsh","Acrisols",NA,NA,NA,NA,NA,10,"10-20",10,20,15,"FIRE + Gliricidia sepium plants and carnauba processing residue","silvoarable",NA,NA,"maize (Zea mays L.) and cowpea (Vigna unguiculata L. Walp)","Gliciridia sepium (Jacq.) Steud. + cashew (Anacardium occidental L.)","shrubland","synchronic",6,2.88,NA,"FIRE + Gliricidia sepium plants",3.15,NA,0,0,-0.27,-8.57142857142857
"16",FALSE,"169",16,"iwata_2021","Bela Cruz - Ceará","Brazil","South_America",-40.22,-3.01,50,1097,24,"Bsh","Acrisols",NA,NA,NA,NA,NA,20,"20-40",20,40,30,"FIRE + Gliricidia sepium plants and carnauba processing residue","silvoarable",NA,NA,"maize (Zea mays L.) and cowpea (Vigna unguiculata L. Walp)","Gliciridia sepium (Jacq.) Steud. + cashew (Anacardium occidental L.)","shrubland","synchronic",6,3.08,NA,"FIRE + Gliricidia sepium plants",3.22,NA,0,0,-0.14,-4.34782608695653
"17",FALSE,"169",17,"iwata_2021","Bela Cruz - Ceará","Brazil","South_America",-40.22,-3.01,50,1097,24,"Bsh","Acrisols",NA,NA,NA,NA,NA,10,"0-10",0,10,5,"FIRE + Gliricidia sepium plants, carnauba processing residue and bio-compost organic residue","silvoarable",NA,NA,"maize (Zea mays L.) and cowpea (Vigna unguiculata L. Walp)","Gliciridia sepium (Jacq.) Steud. + cashew (Anacardium occidental L.)","shrubland","synchronic",6,1.04,NA,"FIRE + Gliricidia sepium plants",1.55,NA,0,0,-0.51,-32.9032258064516
"18",FALSE,"169",18,"iwata_2021","Bela Cruz - Ceará","Brazil","South_America",-40.22,-3.01,50,1097,24,"Bsh","Acrisols",NA,NA,NA,NA,NA,10,"10-20",10,20,15,"FIRE + Gliricidia sepium plants, carnauba processing residue and bio-compost organic residue","silvoarable",NA,NA,"maize (Zea mays L.) and cowpea (Vigna unguiculata L. Walp)","Gliciridia sepium (Jacq.) Steud. + cashew (Anacardium occidental L.)","shrubland","synchronic",6,3.04,NA,"FIRE + Gliricidia sepium plants",3.15,NA,0,0,-0.11,-3.49206349206349
"19",FALSE,"169",19,"iwata_2021","Bela Cruz - Ceará","Brazil","South_America",-40.22,-3.01,50,1097,24,"Bsh","Acrisols",NA,NA,NA,NA,NA,20,"20-40",20,40,30,"FIRE + Gliricidia sepium plants, carnauba processing residue and bio-compost organic residue","silvoarable",NA,NA,"maize (Zea mays L.) and cowpea (Vigna unguiculata L. Walp)","Gliciridia sepium (Jacq.) Steud. + cashew (Anacardium occidental L.)","shrubland","synchronic",6,3.12,NA,"FIRE + Gliricidia sepium plants",3.22,NA,0,0,-0.1,-3.1055900621118
"20",FALSE,"169",20,"iwata_2021","Bela Cruz - Ceará","Brazil","South_America",-40.22,-3.01,50,1097,24,"Bsh","Acrisols",NA,NA,NA,NA,NA,10,"0-10",0,10,5,"NO FIRE + Gliricidia sepium plants and bio-compost organic residues","silvoarable",NA,NA,"maize (Zea mays L.) and cowpea (Vigna unguiculata L. Walp)","Gliciridia sepium (Jacq.) Steud. + cashew (Anacardium occidental L.)","shrubland","synchronic",6,1.52,NA,"NO FIRE + Gliricidia sepium plants",1.6,NA,0,0,-0.0800000000000001,-5
"21",FALSE,"169",21,"iwata_2021","Bela Cruz - Ceará","Brazil","South_America",-40.22,-3.01,50,1097,24,"Bsh","Acrisols",NA,NA,NA,NA,NA,10,"10-20",10,20,15,"NO FIRE + Gliricidia sepium plants and bio-compost organic residues","silvoarable",NA,NA,"maize (Zea mays L.) and cowpea (Vigna unguiculata L. Walp)","Gliciridia sepium (Jacq.) Steud. + cashew (Anacardium occidental L.)","shrubland","synchronic",6,3.16,NA,"NO FIRE + Gliricidia sepium plants",3.22,NA,0,0,-0.0600000000000001,-1.86335403726708
"22",FALSE,"169",22,"iwata_2021","Bela Cruz - Ceará","Brazil","South_America",-40.22,-3.01,50,1097,24,"Bsh","Acrisols",NA,NA,NA,NA,NA,20,"20-40",20,40,30,"NO FIRE + Gliricidia sepium plants and bio-compost organic residues","silvoarable",NA,NA,"maize (Zea mays L.) and cowpea (Vigna unguiculata L. Walp)","Gliciridia sepium (Jacq.) Steud. + cashew (Anacardium occidental L.)","shrubland","synchronic",6,3.18,NA,"NO FIRE + Gliricidia sepium plants",3.07,NA,0,0,0.11,3.58306188925082
"23",FALSE,"169",23,"iwata_2021","Bela Cruz - Ceará","Brazil","South_America",-40.22,-3.01,50,1097,24,"Bsh","Acrisols",NA,NA,NA,NA,NA,10,"0-10",0,10,5,"NO FIRE + Gliricidia sepium plants and carnauba processing residue","silvoarable",NA,NA,"maize (Zea mays L.) and cowpea (Vigna unguiculata L. Walp)","Gliciridia sepium (Jacq.) Steud. + cashew (Anacardium occidental L.)","shrubland","synchronic",6,1.5,NA,"NO FIRE + Gliricidia sepium plants",1.6,NA,0,0,-0.1,-6.25000000000001
"24",FALSE,"169",24,"iwata_2021","Bela Cruz - Ceará","Brazil","South_America",-40.22,-3.01,50,1097,24,"Bsh","Acrisols",NA,NA,NA,NA,NA,10,"10-20",10,20,15,"NO FIRE + Gliricidia sepium plants and carnauba processing residue","silvoarable",NA,NA,"maize (Zea mays L.) and cowpea (Vigna unguiculata L. Walp)","Gliciridia sepium (Jacq.) Steud. + cashew (Anacardium occidental L.)","shrubland","synchronic",6,3.16,NA,"NO FIRE + Gliricidia sepium plants",3.22,NA,0,0,-0.0600000000000001,-1.86335403726708
"25",FALSE,"169",25,"iwata_2021","Bela Cruz - Ceará","Brazil","South_America",-40.22,-3.01,50,1097,24,"Bsh","Acrisols",NA,NA,NA,NA,NA,20,"20-40",20,40,30,"NO FIRE + Gliricidia sepium plants and carnauba processing residue","silvoarable",NA,NA,"maize (Zea mays L.) and cowpea (Vigna unguiculata L. Walp)","Gliciridia sepium (Jacq.) Steud. + cashew (Anacardium occidental L.)","shrubland","synchronic",6,3.25,NA,"NO FIRE + Gliricidia sepium plants",3.07,NA,0,0,0.18,5.86319218241043
"26",FALSE,"169",26,"iwata_2021","Bela Cruz - Ceará","Brazil","South_America",-40.22,-3.01,50,1097,24,"Bsh","Acrisols",NA,NA,NA,NA,NA,10,"0-10",0,10,5,"NO FIRE + Gliricidia sepium plants, carnauba processing residue and bio-compost organic residue","silvoarable",NA,NA,"maize (Zea mays L.) and cowpea (Vigna unguiculata L. Walp)","Gliciridia sepium (Jacq.) Steud. + cashew (Anacardium occidental L.)","shrubland","synchronic",6,1.51,NA,"NO FIRE + Gliricidia sepium plants",1.6,NA,0,0,-0.0900000000000001,-5.625
"27",FALSE,"169",27,"iwata_2021","Bela Cruz - Ceará","Brazil","South_America",-40.22,-3.01,50,1097,24,"Bsh","Acrisols",NA,NA,NA,NA,NA,10,"10-20",10,20,15,"NO FIRE + Gliricidia sepium plants, carnauba processing residue and bio-compost organic residue","silvoarable",NA,NA,"maize (Zea mays L.) and cowpea (Vigna unguiculata L. Walp)","Gliciridia sepium (Jacq.) Steud. + cashew (Anacardium occidental L.)","shrubland","synchronic",6,3.07,NA,"NO FIRE + Gliricidia sepium plants",3.22,NA,0,0,-0.15,-4.65838509316771
"28",FALSE,"169",28,"iwata_2021","Bela Cruz - Ceará","Brazil","South_America",-40.22,-3.01,50,1097,24,"Bsh","Acrisols",NA,NA,NA,NA,NA,20,"20-40",20,40,30,"NO FIRE + Gliricidia sepium plants, carnauba processing residue and bio-compost organic residue","silvoarable",NA,NA,"maize (Zea mays L.) and cowpea (Vigna unguiculata L. Walp)","Gliciridia sepium (Jacq.) Steud. + cashew (Anacardium occidental L.)","shrubland","synchronic",6,2.9,NA,"NO FIRE + Gliricidia sepium plants",3.07,NA,0,0,-0.17,-5.53745928338762
"29",FALSE,"131",29,"loss_2009","Sistema Integrado de Produção Agroecológica (SIPA). Embrapa Agrobiologia, Seropédica - RJ","Brazil","South_America",-43.68,-22.75,33,1213,23.9,"Aw","Acrisols",784,168,48,NA,NA,5,"0-5",0,5,2.5,"SAF: fruit and shaded trees - summer","shaded perennial-crop",NA,NA,"fruit trees","shaded trees","forest","synchronic",5,6.2304,NA,"crop: maize / beans - summer",6.3042,NA,0,1,-0.0738000000000012,-1.1706481393357
"30",FALSE,"131",30,"loss_2009","Sistema Integrado de Produção Agroecológica (SIPA). Embrapa Agrobiologia, Seropédica - RJ","Brazil","South_America",-43.68,-22.75,33,1213,23.9,"Aw","Acrisols",770,168,62,NA,NA,5,"5-10",5,10,7.5,"SAF: fruit and shaded trees - summer","shaded perennial-crop",NA,NA,"fruit trees","shaded trees","forest","synchronic",5,4.7168,NA,"crop: maize / beans - summer",6.35635,NA,0,1,-1.63955,-25.7938911482218
"31",FALSE,"131",31,"loss_2009","Sistema Integrado de Produção Agroecológica (SIPA). Embrapa Agrobiologia, Seropédica - RJ","Brazil","South_America",-43.68,-22.75,33,1213,23.9,"Aw","Acrisols",784,168,48,NA,NA,5,"0-5",0,5,2.5,"SAF: fruit and shaded trees - winter","shaded perennial-crop",NA,NA,"fruit trees","shaded trees","forest","synchronic",5,6.3403,NA,"crop: maize / beans - winter",6.52795,NA,0,1,-0.187650000000001,-2.87456245835218
"32",FALSE,"131",32,"loss_2009","Sistema Integrado de Produção Agroecológica (SIPA). Embrapa Agrobiologia, Seropédica - RJ","Brazil","South_America",-43.68,-22.75,33,1213,23.9,"Aw","Acrisols",770,168,62,NA,NA,5,"5-10",5,10,7.5,"SAF: fruit and shaded trees - winter","shaded perennial-crop",NA,NA,"fruit trees","shaded trees","forest","synchronic",5,5.75575,NA,"crop: maize / beans - winter",7.755,NA,0,1,-1.99925,-25.7801418439716
"33",FALSE,"302",33,"oliveira_2018","Gamada Farm . Nova Canaã do Norte - MT","Brazil","South_America",-55.71,-10.64,NA,1954,26,"As","Ferrasols",NA,NA,NA,NA,NA,30,"0-30",0,30,15,"ICLF-1: Pasture + 1 row of tree","silvopasture",NA,NA,"Urochloa brizantha","Eucalyptus urograndis","forest","synchronic",12,62.38,NA,"pasture",55.05,NA,0,0,7.33,13.3151680290645
"34",FALSE,"302",34,"oliveira_2018","Gamada Farm . Nova Canaã do Norte - MT","Brazil","South_America",-55.71,-10.64,NA,1954,26,"As","Ferrasols",NA,NA,NA,NA,NA,70,"30-70",30,70,50,"ICLF-1: Pasture + 1 row of tree","silvopasture",NA,NA,"Urochloa brizantha","Eucalyptus urograndis","forest","synchronic",12,58.69,NA,"pasture",55.61,NA,0,0,3.08,5.53857219924474
"35",FALSE,"302",35,"oliveira_2018","Gamada Farm . Nova Canaã do Norte - MT","Brazil","South_America",-55.71,-10.64,NA,1954,26,"As","Ferrasols",NA,NA,NA,NA,NA,30,"0-30",0,30,15,"ICLF-3: Pasture + 3 rows of trees","silvopasture",NA,NA,"Urochloa brizantha","Eucalyptus urograndis","forest","synchronic",12,65.19,NA,"pasture",55.05,NA,0,0,10.14,18.4196185286104
"36",FALSE,"302",36,"oliveira_2018","Gamada Farm . Nova Canaã do Norte - MT","Brazil","South_America",-55.71,-10.64,NA,1954,26,"As","Ferrasols",NA,NA,NA,NA,NA,70,"30-70",30,70,50,"ICLF-3: Pasture + 3 rows of trees","silvopasture",NA,NA,"Urochloa brizantha","Eucalyptus urograndis","forest","synchronic",12,64.92,NA,"pasture",55.61,NA,0,0,9.31,16.7415932386262
"37",FALSE,"26",37,"rangel-vasconcelos_2012","Comunidade São João . Marapanim - Pará","Brazil","South_America",-47.34,-1,NA,NA,26,"Am","Acrisols",878,62,60,"sandy","5.3",10,"0-10",0,10,5,"Capoeira: fallow","fallow",NA,NA,"spontaneus vegetation","spontaneus vegetation","cropland","diachronic",1.5,17.3,2.3,"fallow: time 0",20.1,2.5,1,1,-2.8,-13.9303482587065
"38",FALSE,"26",38,"rangel-vasconcelos_2012","Comunidade São João . Marapanim - Pará","Brazil","South_America",-47.34,-1,NA,NA,26,"Am","Acrisols",843,57,100,"sandy","4.8",10,"10-20",10,20,15,"Capoeira: fallow","fallow",NA,NA,"spontaneus vegetation","spontaneus vegetation","cropland","diachronic",1.5,10.5,0.2,"fallow: time 0",12,0.9,1,1,-1.5,-12.5
"39",FALSE,"26",39,"rangel-vasconcelos_2012","Comunidade São João . Marapanim - Pará","Brazil","South_America",-47.34,-1,NA,NA,26,"Am","Acrisols",812,88,100,"sandy","4.7",10,"20-30",20,30,25,"Capoeira: fallow","fallow",NA,NA,"spontaneus vegetation","spontaneus vegetation","cropland","diachronic",1.5,10.3,0.7,"fallow: time 0",9.9,1,1,1,0.4,4.04040404040404
"40",FALSE,"26",40,"rangel-vasconcelos_2012","Comunidade São João . Marapanim - Pará","Brazil","South_America",-47.34,-1,NA,NA,26,"Am","Acrisols",760,80,160,"sandy","4.5999999999999996",20,"30-50",30,50,40,"Capoeira: fallow","fallow",NA,NA,"spontaneus vegetation","spontaneus vegetation","cropland","diachronic",1.5,8.4,0.7,"fallow: time 0",10.5,0.7,1,1,-2.1,-20
"41",FALSE,"25",41,"rangel-vasconcelos_2012","Comunidade São João . Marapanim - Pará","Brazil","South_America",-47.34,-1,NA,NA,26,"Am","Acrisols",878,62,60,"sandy","5.3",10,"0-10",0,10,5,"Enriched fallow with leguminous trees","fallow",NA,1250,"spontaneus vegetation","ingá (Inga edulis Mart) and tachi-branco (Sclerolobium paniculatum Vogel)","cropland","diachronic",1.5,19.8,1.8,"enriched fallow with trees: time 0",16.7,2.6,1,1,3.1,18.562874251497
"42",FALSE,"25",42,"rangel-vasconcelos_2012","Comunidade São João . Marapanim - Pará","Brazil","South_America",-47.34,-1,NA,NA,26,"Am","Acrisols",843,57,100,"sandy","4.8",10,"10-20",10,20,15,"Enriched fallow with leguminous trees","fallow",NA,1250,"spontaneus vegetation","ingá (Inga edulis Mart) and tachi-branco (Sclerolobium paniculatum Vogel)","cropland","diachronic",1.5,13.6,1.3,"enriched fallow with trees: time 0",13.9,0.8,1,1,-0.300000000000001,-2.15827338129497
"43",FALSE,"25",43,"rangel-vasconcelos_2012","Comunidade São João . Marapanim - Pará","Brazil","South_America",-47.34,-1,NA,NA,26,"Am","Acrisols",812,88,100,"sandy","4.7",10,"20-30",20,30,25,"Enriched fallow with leguminous trees","fallow",NA,1250,"spontaneus vegetation","ingá (Inga edulis Mart) and tachi-branco (Sclerolobium paniculatum Vogel)","cropland","diachronic",1.5,10,0.4,"enriched fallow with trees: time 0",11.1,0.6,1,1,-1.1,-9.90990990990991
"44",FALSE,"25",44,"rangel-vasconcelos_2012","Comunidade São João . Marapanim - Pará","Brazil","South_America",-47.34,-1,NA,NA,26,"Am","Acrisols",760,80,160,"sandy","4.5999999999999996",20,"30-50",30,50,40,"Enriched fallow with leguminous trees","fallow",NA,1250,"spontaneus vegetation","ingá (Inga edulis Mart) and tachi-branco (Sclerolobium paniculatum Vogel)","cropland","diachronic",1.5,8.5,0.4,"enriched fallow with trees: time 0",10.2,0.5,1,1,-1.7,-16.6666666666667
"45",FALSE,"25",45,"rangel-vasconcelos_2012","Comunidade São João . Marapanim - Pará","Brazil","South_America",-47.34,-1,NA,NA,26,"Am","Acrisols",878,62,60,"sandy","5.3",10,"0-10",0,10,5,"Enriched fallow with leguminous trees and phosphate fertilizer","fallow",NA,1250,"spontaneus vegetation","ingá (Inga edulis Mart) and tachi-branco (Sclerolobium paniculatum Vogel)","cropland","diachronic",1.5,17,1.4,"enriched fallow with trees and fertilization: time 0",16.7,0.5,1,1,0.300000000000001,1.79640718562875
"46",FALSE,"25",46,"rangel-vasconcelos_2012","Comunidade São João . Marapanim - Pará","Brazil","South_America",-47.34,-1,NA,NA,26,"Am","Acrisols",843,57,100,"sandy","4.8",10,"10-20",10,20,15,"Enriched fallow with leguminous trees and phosphate fertilizer","fallow",NA,1250,"spontaneus vegetation","ingá (Inga edulis Mart) and tachi-branco (Sclerolobium paniculatum Vogel)","cropland","diachronic",1.5,14.9,3.6,"enriched fallow with trees and fertilization: time 0",13.9,0.02,1,1,1,7.19424460431655
"47",FALSE,"25",47,"rangel-vasconcelos_2012","Comunidade São João . Marapanim - Pará","Brazil","South_America",-47.34,-1,NA,NA,26,"Am","Acrisols",812,88,100,"sandy","4.7",10,"20-30",20,30,25,"Enriched fallow with leguminous trees and phosphate fertilizer","fallow",NA,1250,"spontaneus vegetation","ingá (Inga edulis Mart) and tachi-branco (Sclerolobium paniculatum Vogel)","cropland","diachronic",1.5,11.7,1.4,"enriched fallow with trees and fertilization: time 0",11,0.3,1,1,0.699999999999999,6.36363636363636
"48",FALSE,"25",48,"rangel-vasconcelos_2012","Comunidade São João . Marapanim - Pará","Brazil","South_America",-47.34,-1,NA,NA,26,"Am","Acrisols",760,80,160,"sandy","4.5999999999999996",20,"30-50",30,50,40,"Enriched fallow with leguminous trees and phosphate fertilizer","fallow",NA,1250,"spontaneus vegetation","ingá (Inga edulis Mart) and tachi-branco (Sclerolobium paniculatum Vogel)","cropland","diachronic",1.5,9.1,0.6,"enriched fallow with trees and fertilization: time 0",11.4,0.6,1,1,-2.3,-20.1754385964912
"49",TRUE,"366",49,"silva-parra_2018","Villavivencio . Orinoquía - Meta","Colombia","South_America",-73.66,-4.13,467,4538,25.5,"Am",NA,NA,NA,NA,NA,NA,30,"0-30",0,30,15,"S7: Cacao and Acacia","shaded perennial-crop",NA,NA,"Cacao","Acacia mangium","shrubland","diachronic",20,75.45,NA,"S7: Cacao and Acacia - time 0",67.65,NA,0,0,7.8,11.529933481153
"50",TRUE,"369",50,"silva-parra_2018","Villavivencio . Orinoquía - Meta","Colombia","South_America",-73.66,-4.13,467,4538,25.5,"Am",NA,NA,NA,NA,NA,NA,30,"0-30",0,30,15,"S9: coffee, plátano and leguminous trees","shaded perennial-crop",NA,NA,"Coffee","Banana and leguminous trees","shrubland","diachronic",20,104.9,NA,"S9: coffee, plátano and leguminous trees - time 0",57.5,NA,0,0,47.4,82.4347826086957
"51",TRUE,"374",51,"silva-parra_2018","Puerto López . Orinóquia - Meta","Colombia","South_America",-72.97,4.09,365,4538,25.5,"Am",NA,NA,NA,NA,NA,NA,30,"0-30",0,30,15,"S12: silvopasture with Acacia","silvopasture",NA,NA,"Pasture fertilized","Acacia mangium","shrubland","diachronic",20,116.64,NA,"S12: silvopasture with Acacia - time 0",63.84,NA,0,0,52.8,82.7067669172932
"52",TRUE,"375",52,"silva-parra_2018","Puerto López . Orinóquia - Meta","Colombia","South_America",-72.97,4.09,365,4538,25.5,"Am",NA,NA,NA,NA,NA,NA,30,"0-30",0,30,15,"S13: Caucho and leguminous trees","shaded perennial-crop",NA,NA,"Rubber trees","Leguminous trees","shrubland","diachronic",20,71.61,NA,"S13: Caucho and leguminous trees - time 0",64.21,NA,0,0,7.40000000000001,11.5246846285625
"53",TRUE,"371",53,"ford_2019","Ysbyty Ifan . Conwy","Wales","Europe",-3.71,54.04,-80,2500,9,"Cfb","Gleysols",NA,NA,NA,"acid loam or clay","5.33",15,"0-15",0,15,7.5,"Hedge: hedgerow + grassland","hedgerow",NA,NA,"grassland mixed with clover (Trifolium spp.), forbs and mosses","Crataegus monogyna, Prunus spinosa and Corylus avellana","grassland","synchronic",20,6.515,0.12,"Fences and Stone walls",7.135,NA,1,1,-0.62,-8.6895585143658
