"","profile_ID","ID","Author_year","Site_name","Country","Region","Longitude","Latitude","Altitude_masl","Mean_annual_rainfall_mm","Mean_annual_temperature_C","Climate_Köppen","Soil_type_WRB/FAO","Sand","Silt","Clay","Texture","pH","Depth_cm","Layer_deep","Initial_depth","Final_depth","Reference_depth","AFS_description","AFS_classification","AFS_crop_density_ha","AFS_tree_density_ha","Crop_species","Tree_species","Previous_land_use","Experimental_design","AFS_age_yrs","AFS_Stock_t_ha","AFS_SE_t_ha","Control_type","Control_Stock_ton_ha","Control_SE_t_ha","pH_flag","texture_flag","C_stocks_delta_t_ha","C_stocks_delta_procent"
"88","656185",88,"cardinael_2019","Melle - Deux-Sèvres","France","Europe",0.176944444444444,46.1983333333333,107,810,11.7,"Cfb","Luvisols",250,645,105,NA,"5.8",30,"0-30",0,30,15,"tree rows + crop alleys","silvoarable",NA,35,"wheat (Triticum aestivum L. subsp. aestivum), rapeseed (Brassica napus L.), sunflower (Helianthus annuus L.), mix of radish (Raphanus sativus L.), phacelia (Phacelia tanacetifolia Benth.) and mustard (Sinapis alba L.)","Hybrid walnut trees (Juglans regia × nigra cv. NG23)","cropland","synchronic",6,45.43,NA,"cropland",39.76,NA,1,1,5.67,14.2605633802817
"90","808087",90,"cardinael_2019","Bonnes - Charente","France","Europe",0.129277777777778,45.2109444444444,34,NA,NA,"Cfb","Fluvisols",447,346,207,NA,"8.1",30,"0-30",0,30,15,"tree rows + crop alleys","silvoarable",NA,48,"maize (Zea mays L.)","Poplars (Populus deltoides x nigra)","cropland","synchronic",8,107.505,NA,"cropland",67.99,NA,1,1,39.515,58.1188410060303
"91","808087",91,"cardinael_2019","Parcé sur Sarthe - Sarthe","France","Europe",0.216361111111111,47.8216944444444,49,NA,NA,"Cfb","Fluvisols",235,247,518,NA,NA,30,"0-30",0,30,15,"tree rows + crop alleys","silvoarable",NA,33,"rapeseed (Brassica napus L.), wheat (Triticum aestivum L. subsp. aestivum), barley (Hordeum vulgare L.), sorghum (Sorghum bicolor)","Hybrid walnut, wild service tree, common walnut, red oak, sorb tree & hazel, black locust, sessile oak.","cropland","synchronic",8,87.895,NA,"cropland",84.83,NA,0,1,3.06500000000001,3.61310857008135
"93","1314427",93,"cardinael_2019","Prades-Le-Lez, Restinclières Experimental Site - Hérault","France","Europe",4.06666666666667,43.7166666666667,54,873,15.4,"Cfb","Fluvisols",175,410,415,NA,"8",30,"0-30",0,30,15,"tree rows + crop alleys","silvoarable",NA,110,"durum wheat (Triticum turgidum L. subsp. durum), rapeseed (Brassica napus L.) and chickpea (Cicer arietinum L.)","Hybrid walnut trees (Juglans regia × nigra cv. NG23)","cropland","synchronic",18,45.125,NA,"cropland",35.47,NA,1,1,9.655,27.2201860727375
"94","1314427",94,"cardinael_2019","Vézénobres - Gard","France","Europe",4.11027777777778,44.0580555555556,102,1037,14.5,"Cfb","Fluvisols",100,390,510,NA,"8.3000000000000007",30,"0-30",0,30,15,"tree rows + crop alleys","silvoarable",NA,100,"rapeseed, wheat, potato, garlic","Hybrid walnut trees (Juglans regia × nigra cv. NG23)","cropland","synchronic",18,44.51,NA,"cropland",45.34,NA,1,1,-0.829999999999998,-1.83061314512571
"165","311071",165,"schmidt_2021","Dornburg - Thuringia","Germany","Europe",11.65,51.02,285,590,10.8,"Cfb","Phaeozems",40,730,230,NA,"6.6",30,"0-30",0,30,15,"alley cropping","alley cropping",NA,NA,"wheat (Triticum aestivum), barley (Hordeum vulgare) and rapeseed (Brassica napus)","poplar clone max 1 (Populus nigra 9 Populus maximowiczii),","cropland","synchronic",2.5,20.18835,NA,"cropland",16.5648,NA,1,1,3.62355,21.875
"167","311071",167,"schmidt_2021","Forst - Brandeburg","Germany","Europe",14.63,51.78,67,607,10.3,"Cfb","Cambisols",640,280,80,NA,"7.05",30,"0-30",0,30,15,"alley cropping","alley cropping",NA,NA,"wheat (Triticum aestivum), barley (Hordeum vulgare) and rapeseed (Brassica napus)","poplar clone max 1 (Populus nigra 9 Populus maximowiczii),","cropland","synchronic",2.5,15.936,NA,"cropland",13.3632,NA,1,1,2.5728,19.2528735632184
"198","3102930",198,"viaud&kunnemann_2021","Pays des Mauges (MA). Maulevrier - Pays de la Loire","France","Europe",0.747111111111111,47.0100277777778,NA,740,11.3,"Cfb","Luvisols",NA,NA,NA,"loam and silty clay","6.5",30,"0-30",0,30,15,"coppice, high stem, mixed","hedgerow",NA,NA,"long-term and temporary grassland, wheat","Robinia pseudacacia, Quercus robur, Carpinus betulus, Sorbus aucuparia, Ulmus minor","cropland","diachronic",52,68.7543478260869,NA,"cropland",45.6521739130435,NA,1,1,23.1021739130434,50.6047619047618
"199","3102930",199,"viaud&kunnemann_2021","Pays des Mauges (MA). Maulevrier - Pays de la Loire","France","Europe",0.747111111111111,47.0100277777778,NA,740,11.3,"Cfb","Luvisols",NA,NA,NA,"loam and silty clay","6.5",30,"30-60",30,60,45,"coppice, high stem, mixed","hedgerow",NA,NA,"long-term and temporary grassland, wheat","Robinia pseudacacia, Quercus robur, Carpinus betulus, Sorbus aucuparia, Ulmus minor","cropland","diachronic",52,33.2934782608695,NA,"cropland",26.5217391304347,NA,1,1,6.77173913043481,25.5327868852461
"200","3102930",200,"viaud&kunnemann_2021","Pays des Mauges (MA). Maulevrier - Pays de la Loire","France","Europe",0.747111111111111,47.0100277777778,NA,740,11.3,"Cfb","Luvisols",NA,NA,NA,"loam and silty clay","6.5",30,"60-90",60,90,75,"coppice, high stem, mixed","hedgerow",NA,NA,"long-term and temporary grassland, wheat","Robinia pseudacacia, Quercus robur, Carpinus betulus, Sorbus aucuparia, Ulmus minor","cropland","diachronic",52,18.7510869565217,NA,"cropland",12.391304347826,NA,1,1,6.35978260869567,51.3245614035093
"289","90819",289,"wendling_2011","CMM/ Votorantim (Ciaa. Mineira de Metais . Paracatu - Minas Gerais","Brazil","South_America",-46.7333333333333,-17.7,540,1450,24,"Aw","Ferralsols",160,230,610,"1000","6.16",10,"0-10",0,10,5,"SASP1: first year - rice","silvoarable",NA,250,"rice","Eucalyptus grandis","forest","diachronic",1,28.056,NA,"SASP0: eucalyptus fallow",29.964,NA,1,1,-1.908,-6.36764116940328
"290","90819",290,"wendling_2011","CMM/ Votorantim (Ciaa. Mineira de Metais . Paracatu - Minas Gerais","Brazil","South_America",-46.7333333333333,-17.7,540,1450,24,"Aw","Ferralsols",150,220,630,"1000","5.68",10,"0-10",0,10,5,"SASP1: first year - rice","silvoarable",NA,250,"rice","Eucalyptus grandis","forest","diachronic",1,27.877,NA,"SASP0: eucalyptus fallow",25.273,NA,1,1,2.604,10.303485933605
"291","243069",291,"wendling_2011","CMM/ Votorantim (Ciaa. Mineira de Metais . Paracatu - Minas Gerais","Brazil","South_America",-46.7333333333333,-17.7,540,1450,24,"Aw","Ferralsols",290,200,510,"1000","6.59",10,"0-10",0,10,5,"SASP2: second year - soy","silvoarable",NA,250,"soy","Eucalyptus grandis","forest","diachronic",2,17.28,NA,"SASP0: eucalyptus fallow",29.964,NA,1,1,-12.684,-42.3307969563476
"292","243069",292,"wendling_2011","CMM/ Votorantim (Ciaa. Mineira de Metais . Paracatu - Minas Gerais","Brazil","South_America",-46.7333333333333,-17.7,540,1450,24,"Aw","Ferralsols",280,150,570,"1000","5.71",10,"0-10",0,10,5,"SASP2: second year - soy","silvoarable",NA,250,"soy","Eucalyptus grandis","forest","diachronic",2,19.641,NA,"SASP0: eucalyptus fallow",25.273,NA,1,1,-5.632,-22.2846516044791
"293","395145",293,"wendling_2011","CMM/ Votorantim (Ciaa. Mineira de Metais . Paracatu - Minas Gerais","Brazil","South_America",-46.7333333333333,-17.7,540,1450,24,"Aw","Ferralsols",230,160,610,"1000","5.99",10,"0-10",0,10,5,"SASP3: pasture +cattle","silvopasture",NA,250,"pasture (Brachiaria briszantha)","Eucalyptus grandis","forest","diachronic",3,18.54,NA,"SASP0: eucalyptus fallow",29.964,NA,1,1,-11.424,-38.1257509010813
"294","395145",294,"wendling_2011","CMM/ Votorantim (Ciaa. Mineira de Metais . Paracatu - Minas Gerais","Brazil","South_America",-46.7333333333333,-17.7,540,1450,24,"Aw","Ferralsols",230,160,610,"1000","6.12",10,"0-10",0,10,5,"SASP3: pasture +cattle","silvopasture",NA,250,"pasture (Brachiaria brizantha)","Eucalyptus grandis","forest","diachronic",3,19.306,NA,"SASP0: eucalyptus fallow",25.273,NA,1,1,-5.967,-23.6101768685949
"295","648489",295,"wendling_2011","CMM/ Votorantim (Ciaa. Mineira de Metais . Paracatu - Minas Gerais","Brazil","South_America",-46.7333333333333,-17.7,540,1450,24,"Aw","Ferralsols",130,170,700,"1000","5.84",10,"0-10",0,10,5,"SASP6: six years - pasture + cattle","silvopasture",NA,250,"pasture (Brachiaria briszantha)+cattle","Eucalyptus grandis","forest","diachronic",6,20.574,NA,"SASP0: eucalyptus fallow",29.964,NA,1,1,-9.39,-31.3376051261514
"296","648489",296,"wendling_2011","CMM/ Votorantim (Ciaa. Mineira de Metais . Paracatu - Minas Gerais","Brazil","South_America",-46.7333333333333,-17.7,540,1450,24,"Aw","Ferralsols",140,160,700,"1000","5.51",10,"0-10",0,10,5,"SASP6: six years - pasture + cattle","silvopasture",NA,250,"pasture (Brachiaria brizantha)+cattle","Eucalyptus grandis","forest","diachronic",6,17.227,NA,"SASP0: eucalyptus fallow",25.273,NA,1,1,-8.046,-31.8363470897796
"297","901137",297,"wendling_2011","CMM/ Votorantim (Ciaa. Mineira de Metais . Paracatu - Minas Gerais","Brazil","South_America",-46.7333333333333,-17.7,540,1450,24,"Aw","Ferralsols",80,190,730,"1000","5.6",10,"0-10",0,10,5,"SASP10: ten years - pasture + cattle","silvopasture",NA,250,"pasture (Brachiaria briszantha)+cattle","Eucalyptus grandis","forest","diachronic",10,22.856,NA,"SASP0: eucalyptus fallow",29.964,NA,1,1,-7.108,-23.7217994927246
"298","901137",298,"wendling_2011","CMM/ Votorantim (Ciaa. Mineira de Metais . Paracatu - Minas Gerais","Brazil","South_America",-46.7333333333333,-17.7,540,1450,24,"Aw","Ferralsols",100,180,720,"1000","5.66",10,"0-10",0,10,5,"SASP10: ten years - pasture + cattle","silvopasture",NA,250,"pasture (Brachiaria briszantha)+cattle","Eucalyptus grandis","forest","diachronic",10,17.899,NA,"SASP0: eucalyptus fallow",25.273,NA,1,1,-7.374,-29.1773829778815
"317","623583",317,"silva_2018","Fazenda Nossa Senhora Aparecida. Belterra - Pará","Brazil","South_America",-54.9369444444444,-2.63638888888889,175.74,1743,26.2,"Am","Ferralsols",NA,NA,NA,"loamy","5.26",10,"0-10",0,10,5,"CU: maize and soy rotation + cumaru","silvoarable",NA,304,"maize and soybean","cumaru ( Dipteryx odorata (Aublet.), Willd.)","forest","synchronic",6,26.74,7.17,"agriculture",27.62,3.49,1,1,-0.880000000000003,-3.18609703113687
"318","623583",318,"silva_2018","Fazenda Nossa Senhora Aparecida. Belterra - Pará","Brazil","South_America",-54.9369444444444,-2.63638888888889,175.74,1743,26.2,"Am","Ferralsols",NA,NA,NA,"loamy","5.26",10,"10-20",10,20,15,"CU: maize and soy rotation + cumaru","silvoarable",NA,304,"maize and soybean","cumaru ( Dipteryx odorata (Aublet.), Willd.)","forest","synchronic",6,25.9,4.92,"agriculture",27.93,7.77,1,1,-2.03,-7.26817042606517
"319","623583",319,"silva_2018","Fazenda Nossa Senhora Aparecida. Belterra - Pará","Brazil","South_America",-54.9369444444444,-2.63638888888889,175.74,1743,26.2,"Am","Ferralsols",NA,NA,NA,"loamy","5.26",20,"20-40",20,40,30,"CU: maize and soy rotation + cumaru","silvoarable",NA,304,"maize and soybean","cumaru ( Dipteryx odorata (Aublet.), Willd.)","forest","synchronic",6,38.74,12.77,"agriculture",42.51,16.72,1,1,-3.77,-8.86850152905198
"320","635067",320,"silva_2018","Fazenda Nossa Senhora Aparecida. Belterra - Pará","Brazil","South_America",-54.9369444444444,-2.63638888888889,175.74,1743,26.2,"Am","Ferralsols",NA,NA,NA,"loamy","5.26",10,"0-10",0,10,5,"MA: maize and soy rotatio + mahogany","silvoarable",NA,304,"maize and soybean","african mahogany (Khaya ivorensis A chev.)","forest","synchronic",6,23.95,0.8,"agriculture",27.62,3.49,1,1,-3.67,-13.2874728457639
"321","635067",321,"silva_2018","Fazenda Nossa Senhora Aparecida. Belterra - Pará","Brazil","South_America",-54.9369444444444,-2.63638888888889,175.74,1743,26.2,"Am","Ferralsols",NA,NA,NA,"loamy","5.26",10,"10-20",10,20,15,"MA: maize and soy rotatio + mahogany","silvoarable",NA,304,"maize and soybean","african mahogany (Khaya ivorensis A chev.)","forest","synchronic",6,24.43,4.94,"agriculture",27.93,7.77,1,1,-3.5,-12.531328320802
"322","635067",322,"silva_2018","Fazenda Nossa Senhora Aparecida. Belterra - Pará","Brazil","South_America",-54.9369444444444,-2.63638888888889,175.74,1743,26.2,"Am","Ferralsols",NA,NA,NA,"loamy","5.26",20,"20-40",20,40,30,"MA: maize and soy rotatio + mahogany","silvoarable",NA,304,"maize and soybean","african mahogany (Khaya ivorensis A chev.)","forest","synchronic",6,28.02,6.36,"agriculture",42.51,16.72,1,1,-14.49,-34.0860973888497
"323","642549",323,"silva_2018","Fazenda Nossa Senhora Aparecida. Belterra - Pará","Brazil","South_America",-54.9369444444444,-2.63638888888889,175.74,1743,26.2,"Am","Ferralsols",NA,NA,NA,"loamy","5.26",10,"0-10",0,10,5,"PA: rice, maize, soy rotation and pasture + trees","silvopasture",NA,304,"soy, rice , maize + Brachiaria decumbens","cumaru and mahogany","forest","synchronic",6,20.36,3.02,"agriculture",27.62,3.49,1,1,-7.26,-26.2853005068791
"324","642549",324,"silva_2018","Fazenda Nossa Senhora Aparecida. Belterra - Pará","Brazil","South_America",-54.9369444444444,-2.63638888888889,175.74,1743,26.2,"Am","Ferralsols",NA,NA,NA,"loamy","5.26",10,"10-20",10,20,15,"PA: rice, maize, soy rotation and pasture + trees","silvopasture",NA,304,"soy, rice , maize + Brachiaria decumbens","cumaru and mahogany","forest","synchronic",6,35.96,24.9,"agriculture",27.93,7.77,1,1,8.03,28.75044754744
