"","profile_ID","ID","Author_year","Site_name","Country","Region","Longitude","Latitude","Altitude_masl","Mean_annual_rainfall_mm","Mean_annual_temperature_C","Climate_Köppen","Soil_type_WRB/FAO","Sand","Silt","Clay","Texture","pH","Depth_cm","Layer_deep","Initial_depth","Final_depth","Reference_depth","AFS_description","AFS_classification","AFS_crop_density_ha","AFS_tree_density_ha","Crop_species","Tree_species","Previous_land_use","Experimental_design","AFS_age_yrs","AFS_Stock_t_ha","AFS_SE_t_ha","Control_type","Control_Stock_ton_ha","Control_SE_t_ha","pH_flag","texture_flag","C_stocks_delta_t_ha","C_stocks_delta_procent"
"458","2602437",458,"marcal_2021","Fazenda da Toca . Itirapina - São Paulo","Brazil","South_America",-47.74,-22.2,800,NA,NA,"Cwa","Arenosols",937,50,13,NA,NA,5,"5-10",5,10,7.5,"Forest: natural regeneration","fallow",NA,NA,"spontaneous vegetation","Atlantic Forest and Cerrado biomes","grassland","synchronic",35,4.79651162790697,0.52325581395349,"pasture",2.52906976744186,1.04651162790697,0,1,2.26744186046511,89.6551724137929
"459","2602437",459,"marcal_2021","Fazenda da Toca . Itirapina - São Paulo","Brazil","South_America",-47.74,-22.2,800,NA,NA,"Cwa","Arenosols",937,50,13,NA,NA,10,"10-20",10,20,15,"Forest: natural regeneration","fallow",NA,NA,"spontaneous vegetation","Atlantic Forest and Cerrado biomes","grassland","synchronic",35,7.94074074074074,1.18518518518519,"pasture",4.38518518518518,1.48148148148148,0,1,3.55555555555556,81.0810810810813
"460","2602437",460,"marcal_2021","Fazenda da Toca . Itirapina - São Paulo","Brazil","South_America",-47.74,-22.2,800,NA,NA,"Cwa","Arenosols",937,50,13,NA,NA,20,"20-40",20,40,30,"Forest: natural regeneration","fallow",NA,NA,"spontaneous vegetation","Atlantic Forest and Cerrado biomes","grassland","synchronic",35,13.0662020905923,4.6167247386759,"pasture",7.75261324041812,2.87456445993028,0,1,5.31358885017418,68.5393258426962
"461","2593221",461,"monroe_2022","Uruçuca . Bahia","Brazil","South_America",-39.2838888888889,-14.5927777777778,NA,1500,NA,"Af","Acrisols",210,130,660,NA,NA,10,"0-10",0,10,5,"CE: cacao + erythrina","shaded perennial-crop",NA,1105,"Theobroma cacao","Erythrina glauca","grassland","synchronic",35,34,NA,"cacao cabruca ( Theobroma cacao) - 1250 plants/ha . 35 years",38.3,NA,0,1,-4.3,-11.2271540469974
"462","2593221",462,"monroe_2022","Uruçuca . Bahia","Brazil","South_America",-39.2838888888889,-14.5927777777778,NA,1500,NA,"Af","Acrisols",170,120,710,NA,NA,10,"10-20",10,20,15,"CE: cacao + erythrina","shaded perennial-crop",NA,1105,"Theobroma cacao","Erythrina glauca","grassland","synchronic",35,25.9,NA,"cacao cabruca ( Theobroma cacao) - 1250 plants/ha . 35 years",29.6,NA,0,1,-3.7,-12.5
"463","2593221",463,"monroe_2022","Uruçuca . Bahia","Brazil","South_America",-39.2838888888889,-14.5927777777778,NA,1500,NA,"Af","Acrisols",140,110,750,NA,NA,20,"20-40",20,40,30,"CE: cacao + erythrina","shaded perennial-crop",NA,1105,"Theobroma cacao","Erythrina glauca","grassland","synchronic",35,40.1,NA,"cacao cabruca ( Theobroma cacao) - 1250 plants/ha . 35 years",35.5,NA,0,1,4.6,12.9577464788732
"464","2593221",464,"monroe_2022","Uruçuca . Bahia","Brazil","South_America",-39.2838888888889,-14.5927777777778,NA,1500,NA,"Af","Acrisols",130,90,780,NA,NA,20,"40-60",40,60,50,"CE: cacao + erythrina","shaded perennial-crop",NA,1105,"Theobroma cacao","Erythrina glauca","grassland","synchronic",35,29.8,NA,"cacao cabruca ( Theobroma cacao) - 1250 plants/ha . 35 years",27.6,NA,0,1,2.2,7.97101449275362
"465","2593221",465,"monroe_2022","Uruçuca . Bahia","Brazil","South_America",-39.2838888888889,-14.5927777777778,NA,1500,NA,"Af","Acrisols",130,130,640,NA,NA,20,"60-80",60,80,70,"CE: cacao + erythrina","shaded perennial-crop",NA,1105,"Theobroma cacao","Erythrina glauca","grassland","synchronic",35,23.4,NA,"cacao cabruca ( Theobroma cacao) - 1250 plants/ha . 35 years",23.2,NA,0,1,0.199999999999999,0.862068965517238
"466","2593221",466,"monroe_2022","Uruçuca . Bahia","Brazil","South_America",-39.2838888888889,-14.5927777777778,NA,1500,NA,"Af","Acrisols",230,120,650,NA,NA,20,"80-100",80,100,90,"CE: cacao + erythrina","shaded perennial-crop",NA,1105,"Theobroma cacao","Erythrina glauca","grassland","synchronic",35,20.8,NA,"cacao cabruca ( Theobroma cacao) - 1250 plants/ha . 35 years",24.2,NA,0,1,-3.4,-14.0495867768595
"797","397121",797,"gamble_2020","Empire - Minnesota","United_States","North_America",-93.0975,44.7178,NA,880,6.4,"Dfb","Kastanozems",NA,NA,NA,"loam","5.5",15,"0-15",0,15,7.5,"Short-rotation woody crops (year 3)","silvopasture",NA,5499,"lowland-ecotype switchgrass (Panicum virgatum L.), prairie cordgrass (Spartina pectinata Bosc ex Link), a mixture of Pioneer Brand ‘54V48’ alfalfa (Medicago sativa L.) and ‘Rush’ intermediate wheatgrass [Thinopyrum intermedium (Host) Barkworth and Dewey ‘Rush’]","‘NM6’ poplar (Populus maximowiczii × P. nigra) and ‘Fish Creek’ willow (Salix purpurea).","cropland","diachronic",3,54.405,NA,"Short-rotation woody crops (year 0)",68.82,NA,1,1,-14.415,-20.945945945946
"798","397121",798,"gamble_2020","Empire - Minnesota","United_States","North_America",-93.0975,44.7178,NA,880,6.4,"Dfb","Kastanozems",NA,NA,NA,"loam","5.5",15,"15-30",15,30,22.5,"Short-rotation woody crops (year 3)","silvopasture",NA,5499,"lowland-ecotype switchgrass (Panicum virgatum L.), prairie cordgrass (Spartina pectinata Bosc ex Link), a mixture of Pioneer Brand ‘54V48’ alfalfa (Medicago sativa L.) and ‘Rush’ intermediate wheatgrass [Thinopyrum intermedium (Host) Barkworth and Dewey ‘Rush’]","‘NM6’ poplar (Populus maximowiczii × P. nigra) and ‘Fish Creek’ willow (Salix purpurea).","cropland","diachronic",3,36.27,NA,"Short-rotation woody crops (year 0)",46.035,NA,1,1,-9.765,-21.2121212121212
"799","397121",799,"gamble_2020","Empire - Minnesota","United_States","North_America",-93.0975,44.7178,NA,880,6.4,"Dfb","Kastanozems",NA,NA,NA,"loam","5.5",30,"30-60",30,60,45,"Short-rotation woody crops (year 3)","silvopasture",NA,5499,"lowland-ecotype switchgrass (Panicum virgatum L.), prairie cordgrass (Spartina pectinata Bosc ex Link), a mixture of Pioneer Brand ‘54V48’ alfalfa (Medicago sativa L.) and ‘Rush’ intermediate wheatgrass [Thinopyrum intermedium (Host) Barkworth and Dewey ‘Rush’]","‘NM6’ poplar (Populus maximowiczii × P. nigra) and ‘Fish Creek’ willow (Salix purpurea).","cropland","diachronic",3,29.295,NA,"Short-rotation woody crops (year 0)",38.595,NA,1,1,-9.3,-24.0963855421687
"800","397121",800,"gamble_2020","Granada - Minnesota","United_States","North_America",-94.3465,43.7575,NA,790,7.4,"Dfb","Kastanozems",NA,NA,NA,"silty clay loam","6.4",15,"0-15",0,15,7.5,"Short-rotation woody crops (year 3)","silvopasture",NA,5499,"lowland-ecotype switchgrass (Panicum virgatum L.), prairie cordgrass (Spartina pectinata Bosc ex Link), a mixture of Pioneer Brand ‘54V48’ alfalfa (Medicago sativa L.) and ‘Rush’ intermediate wheatgrass [Thinopyrum intermedium (Host) Barkworth and Dewey ‘Rush’]","‘NM6’ poplar (Populus maximowiczii × P. nigra) and ‘Fish Creek’ willow (Salix purpurea).","cropland","diachronic",3,36.9675,NA,"Short-rotation woody crops (year 0)",38.595,NA,1,1,-1.6275,-4.21686746987951
"801","397121",801,"gamble_2020","Granada - Minnesota","United_States","North_America",-94.3465,43.7575,NA,790,7.4,"Dfb","Kastanozems",NA,NA,NA,"silty clay loam","6.4",15,"15-30",15,30,22.5,"Short-rotation woody crops (year 3)","silvopasture",NA,5499,"lowland-ecotype switchgrass (Panicum virgatum L.), prairie cordgrass (Spartina pectinata Bosc ex Link), a mixture of Pioneer Brand ‘54V48’ alfalfa (Medicago sativa L.) and ‘Rush’ intermediate wheatgrass [Thinopyrum intermedium (Host) Barkworth and Dewey ‘Rush’]","‘NM6’ poplar (Populus maximowiczii × P. nigra) and ‘Fish Creek’ willow (Salix purpurea).","cropland","diachronic",3,31.62,NA,"Short-rotation woody crops (year 0)",33.945,NA,1,1,-2.32500000000001,-6.84931506849317
"802","397121",802,"gamble_2020","Granada - Minnesota","United_States","North_America",-94.3465,43.7575,NA,790,7.4,"Dfb","Kastanozems",NA,NA,NA,"silty clay loam","6.4",30,"30-60",30,60,45,"Short-rotation woody crops (year 3)","silvopasture",NA,5499,"lowland-ecotype switchgrass (Panicum virgatum L.), prairie cordgrass (Spartina pectinata Bosc ex Link), a mixture of Pioneer Brand ‘54V48’ alfalfa (Medicago sativa L.) and ‘Rush’ intermediate wheatgrass [Thinopyrum intermedium (Host) Barkworth and Dewey ‘Rush’]","‘NM6’ poplar (Populus maximowiczii × P. nigra) and ‘Fish Creek’ willow (Salix purpurea).","cropland","diachronic",3,38.595,NA,"Short-rotation woody crops (year 0)",42.315,NA,1,1,-3.72000000000001,-8.79120879120882
"803","397121",803,"gamble_2020","Granada - Minnesota","United_States","North_America",-94.3465,43.7575,NA,790,7.4,"Dfb","Kastanozems",NA,NA,NA,"silty clay loam","6.4",30,"60-90",60,90,75,"Short-rotation woody crops (year 3)","silvopasture",NA,5499,"lowland-ecotype switchgrass (Panicum virgatum L.), prairie cordgrass (Spartina pectinata Bosc ex Link), a mixture of Pioneer Brand ‘54V48’ alfalfa (Medicago sativa L.) and ‘Rush’ intermediate wheatgrass [Thinopyrum intermedium (Host) Barkworth and Dewey ‘Rush’]","‘NM6’ poplar (Populus maximowiczii × P. nigra) and ‘Fish Creek’ willow (Salix purpurea).","cropland","diachronic",3,28.83,NA,"Short-rotation woody crops (year 0)",29.76,NA,1,1,-0.930000000000007,-3.12500000000002
"909","233753",909,"kaonga_2009","Kalichero","Zambia","Africa",13.48,-32.45,1001,900,21,"Cwa","Acrisols",640,140,220,"loamy sandy","5",5,"0-5",0,5,2.5,"Non-coppicing improved fallow: Tephosia candida 2972","fallow",NA,NA,"fallow","Tephrosia candida 2972","shrubland","synchronic",2,5.90038314176245,NA,"natural fallow",4.37652385928248,NA,1,1,1.52385928247997,34.8189415041782
"910","233753",910,"kaonga_2009","Kalichero","Zambia","Africa",13.48,-32.45,1001,900,21,"Cwa","Acrisols",640,140,220,"loamy sandy","5",5,"5-10",5,10,7.5,"Non-coppicing improved fallow: Tephosia candida 2972","fallow",NA,NA,"fallow","Tephrosia candida 2972","shrubland","synchronic",2,5.74799721351445,NA,"natural fallow",4.22413793103448,NA,1,1,1.52385928247997,36.075036075036
"911","233753",911,"kaonga_2009","Kalichero","Zambia","Africa",13.48,-32.45,1001,900,21,"Cwa","Acrisols",640,140,220,"loamy sandy","5",5,"10-15",10,15,12.5,"Non-coppicing improved fallow: Tephosia candida 2972","fallow",NA,NA,"fallow","Tephrosia candida 2972","shrubland","synchronic",2,3.53840125391849,NA,"natural fallow",5.13845350052246,NA,1,1,-1.60005224660397,-31.1387900355872
"912","233753",912,"kaonga_2009","Kalichero","Zambia","Africa",13.48,-32.45,1001,900,21,"Cwa","Acrisols",640,140,220,"loamy sandy","5",5,"15-20",15,20,17.5,"Non-coppicing improved fallow: Tephosia candida 2972","fallow",NA,NA,"fallow","Tephrosia candida 2972","shrubland","synchronic",2,3.0050505050505,NA,"natural fallow",5.59561128526645,NA,1,1,-2.59056078021595,-46.2962962962963
"913","233753",913,"kaonga_2009","Kalichero","Zambia","Africa",13.48,-32.45,1001,900,21,"Cwa","Acrisols",640,140,220,"loamy sandy","5",5,"20-25",20,25,22.5,"Non-coppicing improved fallow: Tephosia candida 2972","fallow",NA,NA,"fallow","Tephrosia candida 2972","shrubland","synchronic",2,2.8526645768025,NA,"natural fallow",3.1574364332985,NA,1,1,-0.304771856496,-9.65250965250984
"914","233753",914,"kaonga_2009","Kalichero","Zambia","Africa",13.48,-32.45,1001,900,21,"Cwa","Acrisols",640,140,220,"loamy sandy","5",15,"25-40",25,40,32.5,"Non-coppicing improved fallow: Tephosia candida 2972","fallow",NA,NA,"fallow","Tephrosia candida 2972","shrubland","synchronic",2,4.98606757227447,NA,"natural fallow",9.10048763497039,NA,1,1,-4.11442006269592,-45.2109845947756
"915","233753",915,"kaonga_2009","Kalichero","Zambia","Africa",13.48,-32.45,1001,900,21,"Cwa","Acrisols",640,140,220,"loamy sandy","5",20,"40-60",40,60,50,"Non-coppicing improved fallow: Tephosia candida 2972","fallow",NA,NA,"fallow","Tephrosia candida 2972","shrubland","synchronic",2,3.84317311041449,NA,"natural fallow",9.48145245559039,NA,1,1,-5.6382793451759,-59.4664095146255
"916","233753",916,"kaonga_2009","Kalichero","Zambia","Africa",13.48,-32.45,1001,900,21,"Cwa","Acrisols",640,140,220,"loamy sandy","5",40,"60-100",60,100,80,"Non-coppicing improved fallow: Tephosia candida 2972","fallow",NA,NA,"fallow","Tephrosia candida 2972","shrubland","synchronic",2,13.1387147335423,NA,"natural fallow",10.8529258098223,NA,1,1,2.28578892372,21.0614995787705
"917","233753",917,"kaonga_2009","Kalichero","Zambia","Africa",13.48,-32.45,1001,900,21,"Cwa","Acrisols",640,140,220,"loamy sandy","5",50,"100-150",100,150,125,"Non-coppicing improved fallow: Tephosia candida 2972","fallow",NA,NA,"fallow","Tephrosia candida 2972","shrubland","synchronic",2,1.78596307906652,NA,"natural fallow",10.7767328456983,NA,1,1,-8.99076976663178,-83.4276018099547
"918","233753",918,"kaonga_2009","Kalichero","Zambia","Africa",13.48,-32.45,1001,900,21,"Cwa","Acrisols",640,140,220,"loamy sandy","5",50,"150-200",150,200,175,"Non-coppicing improved fallow: Tephosia candida 2972","fallow",NA,NA,"fallow","Tephrosia candida 2972","shrubland","synchronic",2,6.20515499825844,NA,"natural fallow",11.7672413793103,NA,1,1,-5.56208638105186,-47.2675472675471
"919","233405",919,"kaonga_2009","Kalichero","Zambia","Africa",13.48,-32.45,1001,900,21,"Cwa","Acrisols",640,140,220,"loamy sandy","5",5,"0-5",0,5,2.5,"Non-coppicing improved fallow: Tephosia candida 2970","fallow",NA,NA,"fallow","Tephrosia candida 2970","shrubland","synchronic",2,6.89089167537443,NA,"natural fallow",4.37652385928248,NA,1,1,2.51436781609195,57.4512534818941
"920","233405",920,"kaonga_2009","Kalichero","Zambia","Africa",13.48,-32.45,1001,900,21,"Cwa","Acrisols",640,140,220,"loamy sandy","5",5,"5-10",5,10,7.5,"Non-coppicing improved fallow: Tephosia candida 2970","fallow",NA,NA,"fallow","Tephrosia candida 2970","shrubland","synchronic",2,8.03378613723441,NA,"natural fallow",4.22413793103448,NA,1,1,3.80964820619993,90.1875901875902
"921","233405",921,"kaonga_2009","Kalichero","Zambia","Africa",13.48,-32.45,1001,900,21,"Cwa","Acrisols",640,140,220,"loamy sandy","5",5,"10-15",10,15,12.5,"Non-coppicing improved fallow: Tephosia candida 2970","fallow",NA,NA,"fallow","Tephrosia candida 2970","shrubland","synchronic",2,13.2911006617903,NA,"natural fallow",5.13845350052246,NA,1,1,8.15264716126784,158.659549228944
"922","233405",922,"kaonga_2009","Kalichero","Zambia","Africa",13.48,-32.45,1001,900,21,"Cwa","Acrisols",640,140,220,"loamy sandy","5",5,"15-20",15,20,17.5,"Non-coppicing improved fallow: Tephosia candida 2970","fallow",NA,NA,"fallow","Tephrosia candida 2970","shrubland","synchronic",2,5.29083942877046,NA,"natural fallow",5.59561128526645,NA,1,1,-0.30477185649599,-5.44662309368185
"923","233405",923,"kaonga_2009","Kalichero","Zambia","Africa",13.48,-32.45,1001,900,21,"Cwa","Acrisols",640,140,220,"loamy sandy","5",5,"20-25",20,25,22.5,"Non-coppicing improved fallow: Tephosia candida 2970","fallow",NA,NA,"fallow","Tephrosia candida 2970","shrubland","synchronic",2,4.22413793103448,NA,"natural fallow",3.1574364332985,NA,1,1,1.06670149773598,33.7837837837838
"924","233405",924,"kaonga_2009","Kalichero","Zambia","Africa",13.48,-32.45,1001,900,21,"Cwa","Acrisols",640,140,220,"loamy sandy","5",15,"25-40",25,40,32.5,"Non-coppicing improved fallow: Tephosia candida 2970","fallow",NA,NA,"fallow","Tephrosia candida 2970","shrubland","synchronic",2,5.13845350052246,NA,"natural fallow",9.10048763497039,NA,1,1,-3.96203413444793,-43.536503683858
"925","233405",925,"kaonga_2009","Kalichero","Zambia","Africa",13.48,-32.45,1001,900,21,"Cwa","Acrisols",640,140,220,"loamy sandy","5",20,"40-60",40,60,50,"Non-coppicing improved fallow: Tephosia candida 2970","fallow",NA,NA,"fallow","Tephrosia candida 2970","shrubland","synchronic",2,5.74799721351445,NA,"natural fallow",9.48145245559039,NA,1,1,-3.73345524207594,-39.3764063002251
"926","233405",926,"kaonga_2009","Kalichero","Zambia","Africa",13.48,-32.45,1001,900,21,"Cwa","Acrisols",640,140,220,"loamy sandy","5",40,"60-100",60,100,80,"Non-coppicing improved fallow: Tephosia candida 2970","fallow",NA,NA,"fallow","Tephrosia candida 2970","shrubland","synchronic",2,10.5481539533263,NA,"natural fallow",10.8529258098223,NA,1,1,-0.304771856496,-2.80819994383607
"927","233405",927,"kaonga_2009","Kalichero","Zambia","Africa",13.48,-32.45,1001,900,21,"Cwa","Acrisols",640,140,220,"loamy sandy","5",50,"100-150",100,150,125,"Non-coppicing improved fallow: Tephosia candida 2970","fallow",NA,NA,"fallow","Tephrosia candida 2970","shrubland","synchronic",2,15.1197318007662,NA,"natural fallow",10.7767328456983,NA,1,1,4.3429989550679,40.2997737556562
"928","233405",928,"kaonga_2009","Kalichero","Zambia","Africa",13.48,-32.45,1001,900,21,"Cwa","Acrisols",640,140,220,"loamy sandy","5",50,"150-200",150,200,175,"Non-coppicing improved fallow: Tephosia candida 2970","fallow",NA,NA,"fallow","Tephrosia candida 2970","shrubland","synchronic",2,5.90038314176245,NA,"natural fallow",11.7672413793103,NA,1,1,-5.86685823754785,-49.8575498575497
"929","233231",929,"kaonga_2009","Kalichero","Zambia","Africa",13.48,-32.45,1001,900,21,"Cwa","Acrisols",640,140,220,"loamy sandy","5",5,"0-5",0,5,2.5,"Non-coppicing improved fallow: Tephosia candida","fallow",NA,NA,"fallow","Tephrosia candida","shrubland","synchronic",2,5.29083942877046,NA,"natural fallow",4.37652385928248,NA,1,1,0.914315569487981,20.8913649025069
"930","233231",930,"kaonga_2009","Kalichero","Zambia","Africa",13.48,-32.45,1001,900,21,"Cwa","Acrisols",640,140,220,"loamy sandy","5",5,"5-10",5,10,7.5,"Non-coppicing improved fallow: Tephosia candida","fallow",NA,NA,"fallow","Tephrosia candida","shrubland","synchronic",2,4.98606757227447,NA,"natural fallow",4.22413793103448,NA,1,1,0.761929641239989,18.0375180375181
"931","233231",931,"kaonga_2009","Kalichero","Zambia","Africa",13.48,-32.45,1001,900,21,"Cwa","Acrisols",640,140,220,"loamy sandy","5",5,"10-15",10,15,12.5,"Non-coppicing improved fallow: Tephosia candida","fallow",NA,NA,"fallow","Tephrosia candida","shrubland","synchronic",2,4.37652385928248,NA,"natural fallow",5.13845350052246,NA,1,1,-0.761929641239981,-14.8279952550414
"932","233231",932,"kaonga_2009","Kalichero","Zambia","Africa",13.48,-32.45,1001,900,21,"Cwa","Acrisols",640,140,220,"loamy sandy","5",5,"15-20",15,20,17.5,"Non-coppicing improved fallow: Tephosia candida","fallow",NA,NA,"fallow","Tephrosia candida","shrubland","synchronic",2,2.09073493556252,NA,"natural fallow",5.59561128526645,NA,1,1,-3.50487634970393,-62.636165577342
"933","233231",933,"kaonga_2009","Kalichero","Zambia","Africa",13.48,-32.45,1001,900,21,"Cwa","Acrisols",640,140,220,"loamy sandy","5",5,"20-25",20,25,22.5,"Non-coppicing improved fallow: Tephosia candida","fallow",NA,NA,"fallow","Tephrosia candida","shrubland","synchronic",2,2.54789272030651,NA,"natural fallow",3.1574364332985,NA,1,1,-0.60954371299199,-19.3050193050193
"934","233231",934,"kaonga_2009","Kalichero","Zambia","Africa",13.48,-32.45,1001,900,21,"Cwa","Acrisols",640,140,220,"loamy sandy","5",15,"25-40",25,40,32.5,"Non-coppicing improved fallow: Tephosia candida","fallow",NA,NA,"fallow","Tephrosia candida","shrubland","synchronic",2,7.65282131661442,NA,"natural fallow",9.10048763497039,NA,1,1,-1.44766631835597,-15.9075686537173
"935","233231",935,"kaonga_2009","Kalichero","Zambia","Africa",13.48,-32.45,1001,900,21,"Cwa","Acrisols",640,140,220,"loamy sandy","5",20,"40-60",40,60,50,"Non-coppicing improved fallow: Tephosia candida","fallow",NA,NA,"fallow","Tephrosia candida","shrubland","synchronic",2,22.2818704284221,NA,"natural fallow",9.48145245559039,NA,1,1,12.8004179728317,135.004821600771
"936","233231",936,"kaonga_2009","Kalichero","Zambia","Africa",13.48,-32.45,1001,900,21,"Cwa","Acrisols",640,140,220,"loamy sandy","5",40,"60-100",60,100,80,"Non-coppicing improved fallow: Tephosia candida","fallow",NA,NA,"fallow","Tephrosia candida","shrubland","synchronic",2,13.9768373389063,NA,"natural fallow",10.8529258098223,NA,1,1,3.123911529084,28.7840494243197
"937","233231",937,"kaonga_2009","Kalichero","Zambia","Africa",13.48,-32.45,1001,900,21,"Cwa","Acrisols",640,140,220,"loamy sandy","5",50,"100-150",100,150,125,"Non-coppicing improved fallow: Tephosia candida","fallow",NA,NA,"fallow","Tephrosia candida","shrubland","synchronic",2,15.8816614420062,NA,"natural fallow",10.7767328456983,NA,1,1,5.1049285963079,47.3699095022627
"938","233231",938,"kaonga_2009","Kalichero","Zambia","Africa",13.48,-32.45,1001,900,21,"Cwa","Acrisols",640,140,220,"loamy sandy","5",50,"150-200",150,200,175,"Non-coppicing improved fallow: Tephosia candida","fallow",NA,NA,"fallow","Tephrosia candida","shrubland","synchronic",2,19.0817659352142,NA,"natural fallow",11.7672413793103,NA,1,1,7.3145245559039,62.1600621600627
"939","233057",939,"kaonga_2009","Kalichero","Zambia","Africa",13.48,-32.45,1001,900,21,"Cwa","Acrisols",640,140,220,"loamy sandy","5",5,"0-5",0,5,2.5,"Non-coppicing improved fallow: Sesbania sesban","fallow",NA,NA,"fallow","Sesbania sesban","shrubland","synchronic",2,9.48145245559039,NA,"natural fallow",4.37652385928248,NA,1,1,5.10492859630791,116.643454038997
"940","233057",940,"kaonga_2009","Kalichero","Zambia","Africa",13.48,-32.45,1001,900,21,"Cwa","Acrisols",640,140,220,"loamy sandy","5",5,"5-10",5,10,7.5,"Non-coppicing improved fallow: Sesbania sesban","fallow",NA,NA,"fallow","Sesbania sesban","shrubland","synchronic",2,6.89089167537443,NA,"natural fallow",4.22413793103448,NA,1,1,2.66675374433995,63.1313131313131
"941","233057",941,"kaonga_2009","Kalichero","Zambia","Africa",13.48,-32.45,1001,900,21,"Cwa","Acrisols",640,140,220,"loamy sandy","5",5,"10-15",10,15,12.5,"Non-coppicing improved fallow: Sesbania sesban","fallow",NA,NA,"fallow","Sesbania sesban","shrubland","synchronic",2,8.10997910135841,NA,"natural fallow",5.13845350052246,NA,1,1,2.97152560083595,57.8291814946621
"942","233057",942,"kaonga_2009","Kalichero","Zambia","Africa",13.48,-32.45,1001,900,21,"Cwa","Acrisols",640,140,220,"loamy sandy","5",5,"15-20",15,20,17.5,"Non-coppicing improved fallow: Sesbania sesban","fallow",NA,NA,"fallow","Sesbania sesban","shrubland","synchronic",2,5.21464646464646,NA,"natural fallow",5.59561128526645,NA,1,1,-0.38096482061999,-6.80827886710236
"943","233057",943,"kaonga_2009","Kalichero","Zambia","Africa",13.48,-32.45,1001,900,21,"Cwa","Acrisols",640,140,220,"loamy sandy","5",5,"20-25",20,25,22.5,"Non-coppicing improved fallow: Sesbania sesban","fallow",NA,NA,"fallow","Sesbania sesban","shrubland","synchronic",2,4.07175200278648,NA,"natural fallow",3.1574364332985,NA,1,1,0.914315569487981,28.9575289575289
"944","233057",944,"kaonga_2009","Kalichero","Zambia","Africa",13.48,-32.45,1001,900,21,"Cwa","Acrisols",640,140,220,"loamy sandy","5",15,"25-40",25,40,32.5,"Non-coppicing improved fallow: Sesbania sesban","fallow",NA,NA,"fallow","Sesbania sesban","shrubland","synchronic",2,8.9481017067224,NA,"natural fallow",9.10048763497039,NA,1,1,-0.152385928247991,-1.67448091091755
"945","233057",945,"kaonga_2009","Kalichero","Zambia","Africa",13.48,-32.45,1001,900,21,"Cwa","Acrisols",640,140,220,"loamy sandy","5",20,"40-60",40,60,50,"Non-coppicing improved fallow: Sesbania sesban","fallow",NA,NA,"fallow","Sesbania sesban","shrubland","synchronic",2,19.5389237199582,NA,"natural fallow",9.48145245559039,NA,1,1,10.0574712643678,106.075216972035
"946","233057",946,"kaonga_2009","Kalichero","Zambia","Africa",13.48,-32.45,1001,900,21,"Cwa","Acrisols",640,140,220,"loamy sandy","5",40,"60-100",60,100,80,"Non-coppicing improved fallow: Sesbania sesban","fallow",NA,NA,"fallow","Sesbania sesban","shrubland","synchronic",2,14.5101880877742,NA,"natural fallow",10.8529258098223,NA,1,1,3.6572622779519,33.6983993260319
"947","233057",947,"kaonga_2009","Kalichero","Zambia","Africa",13.48,-32.45,1001,900,21,"Cwa","Acrisols",640,140,220,"loamy sandy","5",50,"100-150",100,150,125,"Non-coppicing improved fallow: Sesbania sesban","fallow",NA,NA,"fallow","Sesbania sesban","shrubland","synchronic",2,11.8434343434343,NA,"natural fallow",10.7767328456983,NA,1,1,1.066701497736,9.89819004524911
"948","233057",948,"kaonga_2009","Kalichero","Zambia","Africa",13.48,-32.45,1001,900,21,"Cwa","Acrisols",640,140,220,"loamy sandy","5",50,"150-200",150,200,175,"Non-coppicing improved fallow: Sesbania sesban","fallow",NA,NA,"fallow","Sesbania sesban","shrubland","synchronic",2,8.4909439219784,NA,"natural fallow",11.7672413793103,NA,1,1,-3.2762974573319,-27.8425278425276
"959","234275",959,"kaonga_2009","Kalichero","Zambia","Africa",13.48,-32.45,1001,900,21,"Cwa","Acrisols",640,140,220,"loamy sandy","5",5,"0-5",0,5,2.5,"Non-coppicing improved fallow: Tephrosia vogelli Misamfu","fallow",NA,NA,"fallow","Tephrosia vogelli Misamfu","shrubland","synchronic",2,4.90987460815047,NA,"natural fallow",4.37652385928248,NA,1,1,0.53335074886799,12.1866295264624
"960","234275",960,"kaonga_2009","Kalichero","Zambia","Africa",13.48,-32.45,1001,900,21,"Cwa","Acrisols",640,140,220,"loamy sandy","5",5,"5-10",5,10,7.5,"Non-coppicing improved fallow: Tephrosia vogelli Misamfu","fallow",NA,NA,"fallow","Tephrosia vogelli Misamfu","shrubland","synchronic",2,4.14794496691048,NA,"natural fallow",4.22413793103448,NA,1,1,-0.076192964124,-1.80375180375184
"961","234275",961,"kaonga_2009","Kalichero","Zambia","Africa",13.48,-32.45,1001,900,21,"Cwa","Acrisols",640,140,220,"loamy sandy","5",5,"10-15",10,15,12.5,"Non-coppicing improved fallow: Tephrosia vogelli Misamfu","fallow",NA,NA,"fallow","Tephrosia vogelli Misamfu","shrubland","synchronic",2,5.67180424939045,NA,"natural fallow",5.13845350052246,NA,1,1,0.53335074886799,10.3795966785291
"962","234275",962,"kaonga_2009","Kalichero","Zambia","Africa",13.48,-32.45,1001,900,21,"Cwa","Acrisols",640,140,220,"loamy sandy","5",5,"15-20",15,20,17.5,"Non-coppicing improved fallow: Tephrosia vogelli Misamfu","fallow",NA,NA,"fallow","Tephrosia vogelli Misamfu","shrubland","synchronic",2,2.8526645768025,NA,"natural fallow",5.59561128526645,NA,1,1,-2.74294670846395,-49.0196078431373
