"","latitude","longitude","authoryear"
"134",-2.53333333333333,-60.0333333333333,"marques_2015"
"135",-2.53333333333333,-60.0333333333333,"marques_2015"
"136",-2.53333333333333,-60.0333333333333,"marques_2015"
"137",-2.53333333333333,-60.0333333333333,"marques_2015"
"138",-2.53333333333333,-60.0333333333333,"marques_2015"
"139",-2.53333333333333,-60.0333333333333,"marques_2015"
"140",-2.53333333333333,-60.0333333333333,"marques_2015"
"141",-2.53333333333333,-60.0333333333333,"marques_2015"
"142",-2.53333333333333,-60.0333333333333,"marques_2015"
"143",-2.53333333333333,-60.0333333333333,"marques_2015"
"144",-2.53333333333333,-60.0333333333333,"marques_2015"
"145",-2.53333333333333,-60.0333333333333,"marques_2015"
"146",-2.53333333333333,-60.0333333333333,"marques_2015"
"147",-2.53333333333333,-60.0333333333333,"marques_2015"
"148",-2.53333333333333,-60.0333333333333,"marques_2015"
"149",-2.53333333333333,-60.0333333333333,"marques_2015"
"150",-2.53333333333333,-60.0333333333333,"marques_2015"
"151",-2.53333333333333,-60.0333333333333,"marques_2015"
"152",50.14,20.48,"mazurek&bejger_2014"
"153",30.4,-83,"nair_2007"
"154",30.4,-83,"nair_2007"
"155",30.4,-83,"nair_2007"
"156",30.4,-83,"nair_2007"
"157",30.4,-83,"nair_2007"
"158",30.4,-83,"nair_2007"
"159",28.15,-81.1666666666667,"nair_2007"
"160",28.15,-81.1666666666667,"nair_2007"
"161",28.15,-81.1666666666667,"nair_2007"
"162",28.15,-81.1666666666667,"nair_2007"
"163",28.15,-81.1666666666667,"nair_2007"
"164",28.15,-81.1666666666667,"nair_2007"
"165",51.02,11.65,"schmidt_2021"
"166",52.33,10.63,"schmidt_2021"
"167",51.78,14.63,"schmidt_2021"
"168",51.360494,4.944087,"van-den-berge_2021"
"169",51.360494,4.944087,"van-den-berge_2021"
"170",-17.75,-46.7333333333333,"vergutz_2010"
"171",-17.75,-46.7333333333333,"vergutz_2010"
"172",-17.75,-46.7333333333333,"vergutz_2010"
"173",-17.75,-46.7333333333333,"vergutz_2010"
"174",-17.75,-46.7333333333333,"vergutz_2010"
"175",-17.75,-46.7333333333333,"vergutz_2010"
"176",-17.75,-46.7333333333333,"vergutz_2010"
"177",-17.75,-46.7333333333333,"vergutz_2010"
"178",-17.75,-46.7333333333333,"vergutz_2010"
"179",-17.75,-46.7333333333333,"vergutz_2010"
"180",-17.75,-46.7333333333333,"vergutz_2010"
"181",-17.75,-46.7333333333333,"vergutz_2010"
"182",-17.75,-46.7333333333333,"vergutz_2010"
"183",-17.75,-46.7333333333333,"vergutz_2010"
"184",-17.75,-46.7333333333333,"vergutz_2010"
"185",-17.75,-46.7333333333333,"vergutz_2010"
"186",-17.75,-46.7333333333333,"vergutz_2010"
"187",-17.75,-46.7333333333333,"vergutz_2010"
"188",-17.75,-46.7333333333333,"vergutz_2010"
"189",-17.75,-46.7333333333333,"vergutz_2010"
"190",-17.75,-46.7333333333333,"vergutz_2010"
"191",-17.75,-46.7333333333333,"vergutz_2010"
"192",-17.75,-46.7333333333333,"vergutz_2010"
"193",-17.75,-46.7333333333333,"vergutz_2010"
"194",-17.75,-46.7333333333333,"vergutz_2010"
"195",48.1401388888889,-3.61227777777778,"viaud&kunnemann_2021"
"196",48.1401388888889,-3.61227777777778,"viaud&kunnemann_2021"
"197",48.1401388888889,-3.61227777777778,"viaud&kunnemann_2021"
"198",47.0100277777778,-0.747111111111111,"viaud&kunnemann_2021"
"199",47.0100277777778,-0.747111111111111,"viaud&kunnemann_2021"
"200",47.0100277777778,-0.747111111111111,"viaud&kunnemann_2021"
"201",47.866514,0.030246,"viaud&kunnemann_2021"
"202",47.866514,0.030246,"viaud&kunnemann_2021"
"203",47.866514,0.030246,"viaud&kunnemann_2021"
"204",-9.173578,-63.159113,"bastos_2021"
"205",-9.173578,-63.159113,"bastos_2021"
"206",-9.173578,-63.159113,"bastos_2021"
"207",-9.173578,-63.159113,"bastos_2021"
"208",-9.95,-54.8666666666667,"caravina_2021"
"209",-9.95,-54.8666666666667,"caravina_2021"
"210",-20.4333333333333,-54.7166666666667,"macedo_2021"
"211",-20.4333333333333,-54.7166666666667,"macedo_2021"
"212",-20.4333333333333,-54.7166666666667,"macedo_2021"
"213",-20.4333333333333,-54.7166666666667,"macedo_2021"
"214",-20.4333333333333,-54.7166666666667,"macedo_2021"
"215",-20.4333333333333,-54.7166666666667,"macedo_2021"
"216",-20.4333333333333,-54.7166666666667,"macedo_2021"
"217",-20.4333333333333,-54.7166666666667,"macedo_2021"
"218",-17.55,-46.7,"neves_2004"
"219",-17.55,-46.7,"neves_2004"
"220",-17.55,-46.7,"neves_2004"
"221",-17.55,-46.7,"neves_2004"
"222",-17.55,-46.7,"neves_2004"
"223",-17.55,-46.7,"neves_2004"
"224",-17.55,-46.7,"neves_2004"
"225",-17.55,-46.7,"neves_2004"
"226",-17.55,-46.7,"neves_2004"
"227",-17.55,-46.7,"neves_2004"
"228",-17.55,-46.7,"neves_2004"
"229",-17.55,-46.7,"neves_2004"
"230",-19.4541666666667,-44.1530555555556,"pinheiro_2021"
"231",-19.4541666666667,-44.1530555555556,"pinheiro_2021"
"232",-19.4541666666667,-44.1530555555556,"pinheiro_2021"
"233",-19.4541666666667,-44.1530555555556,"pinheiro_2021"
"234",-19.4541666666667,-44.1530555555556,"pinheiro_2021"
"235",-19.4541666666667,-44.1530555555556,"pinheiro_2021"
"236",-19.4541666666667,-44.1530555555556,"pinheiro_2021"
"237",-19.4541666666667,-44.1530555555556,"pinheiro_2021"
"238",-19.4541666666667,-44.1530555555556,"pinheiro_2021"
"239",-19.4541666666667,-44.1530555555556,"pinheiro_2021"
"240",-19.4541666666667,-44.1530555555556,"pinheiro_2021"
"241",-19.4541666666667,-44.1530555555556,"pinheiro_2021"
"242",-16.2986111111111,-43.2947222222222,"rocha_2014"
"243",-16.2986111111111,-43.2947222222222,"rocha_2014"
"244",-16.2986111111111,-43.2947222222222,"rocha_2014"
"245",-16.2986111111111,-43.2947222222222,"rocha_2014"
"246",-16.2986111111111,-43.2947222222222,"rocha_2014"
"247",-16.2986111111111,-43.2947222222222,"rocha_2014"
"248",-16.2986111111111,-43.2947222222222,"rocha_2014"
"249",-16.2986111111111,-43.2947222222222,"rocha_2014"
"250",-16.2986111111111,-43.2947222222222,"rocha_2014"
"251",-20.4333333333333,-54.7166666666667,"sousa-neto_2014"
"252",-20.4333333333333,-54.7166666666667,"sousa-neto_2014"
"253",-20.4333333333333,-54.7166666666667,"sousa-neto_2014"
"254",-20.4333333333333,-54.7166666666667,"sousa-neto_2014"
"255",-20.4333333333333,-54.7166666666667,"sousa-neto_2014"
"256",-20.4333333333333,-54.7166666666667,"sousa-neto_2014"
"257",-20.4333333333333,-54.7166666666667,"sousa-neto_2014"
"258",-20.4333333333333,-54.7166666666667,"sousa-neto_2014"
"259",10.430561,-83.999221,"tornquist_1999"
"260",10.430561,-83.999221,"tornquist_1999"
"261",10.18,-83.6,"amezquita_2004"
"262",10.01,-84.67,"amezquita_2004"
"263",7.54,1.25,"dossa_2008"
"264",-18.7477861111111,-44.4482111111111,"freitas_2020"
"265",-18.7477861111111,-44.4482111111111,"freitas_2020"
"266",-18.7477861111111,-44.4482111111111,"freitas_2020"
"267",-18.7477861111111,-44.4482111111111,"freitas_2020"
"268",-18.7477861111111,-44.4482111111111,"freitas_2020"
"269",-18.7477861111111,-44.4482111111111,"freitas_2020"
"270",-18.7477861111111,-44.4482111111111,"freitas_2020"
"271",18.45,-66.25,"parrota_1999"
"272",18.45,-66.25,"parrota_1999"
"273",18.45,-66.25,"parrota_1999"
"274",27.4044444444444,82.9363888888889,"xu_2016"
"275",27.4044444444444,82.9363888888889,"xu_2016"
"276",27.4044444444444,82.9363888888889,"xu_2016"
"277",27.4044444444444,82.9363888888889,"xu_2016"
"278",16.61,-93.12,"aryal_2018"
"279",16.25,-93.27,"aryal_2018"
"280",19.0726666666667,102.436888888889,"lopez-santiago_2019"
"281",-20.3877777777778,-40.7820055555556,"machado_2014"
"282",-20.3877777777778,-40.7820055555556,"machado_2014"
"283",-2.95818611111111,-47.3862138888889,"silva_2016"
"284",-2.95818611111111,-47.3862138888889,"silva_2016"
"285",-2.95818611111111,-47.3862138888889,"silva_2016"
"286",-2.95818611111111,-47.3862138888889,"silva_2016"
"287",-17.7,-46.7333333333333,"wendling_2011"
"288",-17.7,-46.7333333333333,"wendling_2011"
"289",-17.7,-46.7333333333333,"wendling_2011"
"290",-17.7,-46.7333333333333,"wendling_2011"
"291",-17.7,-46.7333333333333,"wendling_2011"
"292",-17.7,-46.7333333333333,"wendling_2011"
"293",-17.7,-46.7333333333333,"wendling_2011"
"294",-17.7,-46.7333333333333,"wendling_2011"
"295",-17.7,-46.7333333333333,"wendling_2011"
"296",-17.7,-46.7333333333333,"wendling_2011"
"297",-19.8711944444444,-44.4239166666667,"baldotto_2018"
"298",-16.3833333333333,-39.1833333333333,"gama-rodriguez_2008"
"299",-21.25,-45.03,"guimaraes_2018"
"300",-21.25,-45.03,"guimaraes_2018"
"301",-21.25,-45.03,"guimaraes_2018"
"302",-21.25,-45.03,"guimaraes_2018"
"303",-21.25,-45.03,"guimaraes_2018"
"304",-21.25,-45.03,"guimaraes_2018"
"305",-21.25,-45.03,"guimaraes_2018"
"306",-21.25,-45.03,"guimaraes_2018"
"307",-21.25,-45.03,"guimaraes_2018"
"308",-21.25,-45.03,"guimaraes_2018"
"309",-21.25,-45.03,"guimaraes_2018"
"310",-21.25,-45.03,"guimaraes_2018"
"311",-3.68333333333333,-40.3333333333333,"sacramento_2013"
"312",-3.68333333333333,-40.3333333333333,"sacramento_2013"
"313",-3.68333333333333,-40.3333333333333,"sacramento_2013"
"314",-3.68333333333333,-40.3333333333333,"sacramento_2013"
"315",-2.63638888888889,-54.9369444444444,"silva_2018"
"316",-2.63638888888889,-54.9369444444444,"silva_2018"
"317",-2.63638888888889,-54.9369444444444,"silva_2018"
"318",-2.63638888888889,-54.9369444444444,"silva_2018"
"319",-2.63638888888889,-54.9369444444444,"silva_2018"
"320",-2.63638888888889,-54.9369444444444,"silva_2018"
"321",-2.63638888888889,-54.9369444444444,"silva_2018"
"322",-2.63638888888889,-54.9369444444444,"silva_2018"
"323",-2.63638888888889,-54.9369444444444,"silva_2018"
"324",-5.75,-76.0833333333333,"szott_1996"
"325",-5.75,-76.0833333333333,"szott_1996"
"326",-5.75,-76.0833333333333,"szott_1996"
"327",-5.75,-76.0833333333333,"szott_1996"
"328",-5.75,-76.0833333333333,"szott_1996"
"329",-5.75,-76.0833333333333,"szott_1996"
"330",-5.75,-76.0833333333333,"szott_1996"
"331",-5.75,-76.0833333333333,"szott_1996"
"332",-5.75,-76.0833333333333,"szott_1996"
"333",-5.75,-76.0833333333333,"szott_1996"
"334",-5.75,-76.0833333333333,"szott_1996"
"335",-5.75,-76.0833333333333,"szott_1996"
"336",-5.75,-76.0833333333333,"szott_1996"
"337",-5.75,-76.0833333333333,"szott_1996"
"338",-5.75,-76.0833333333333,"szott_1996"
"339",-5.75,-76.0833333333333,"szott_1996"
"340",-5.75,-76.0833333333333,"szott_1996"
"341",-5.75,-76.0833333333333,"szott_1996"
"342",-5.75,-76.0833333333333,"szott_1996"
"343",-5.75,-76.0833333333333,"szott_1996"
"344",-5.75,-76.0833333333333,"szott_1996"
"345",-5.75,-76.0833333333333,"szott_1996"
"346",-5.75,-76.0833333333333,"szott_1996"
"347",23.92,92.62,"ahirwal_2022"
"348",23.92,92.62,"ahirwal_2022"
"349",23.92,92.62,"ahirwal_2022"
"350",23.92,92.62,"ahirwal_2022"
"351",23.92,92.62,"ahirwal_2022"
"352",23.92,92.62,"ahirwal_2022"
"353",23.92,92.62,"ahirwal_2022"
"354",23.92,92.62,"ahirwal_2022"
"355",23.92,92.62,"ahirwal_2022"
"356",39.2695638888889,-5.98037222222222,"alias_2022"
"357",39.2695638888889,-5.98037222222222,"alias_2022"
"358",39.2695638888889,-5.98037222222222,"alias_2022"
"359",6.047647,-0.522696,"asigbaase_2021"
"360",6.047647,-0.522696,"asigbaase_2021"
"361",42.71,12.11,"bateni_2021"
"362",42.71,12.11,"bateni_2021"
"363",42.71,12.11,"bateni_2021"
"364",42.71,12.11,"bateni_2021"
"365",42.71,12.11,"bateni_2021"
"366",42.71,12.11,"bateni_2021"
"367",4.43847222222222,118.048861111111,"besar _2020"
"368",4.43847222222222,118.048861111111,"besar _2020"
"369",4.43847222222222,118.048861111111,"besar _2020"
"370",4.43847222222222,118.048861111111,"besar _2020"
"371",4.43847222222222,118.048861111111,"besar _2020"
"372",4.43847222222222,118.048861111111,"besar _2020"
"373",4.43847222222222,118.048861111111,"besar _2020"
"374",4.43847222222222,118.048861111111,"besar _2020"
"375",4.43847222222222,118.048861111111,"besar _2020"
"376",9.89555555555556,-83.6686111111111,"chatterjee_2019"
"377",9.89555555555556,-83.6686111111111,"chatterjee_2019"
"378",9.89555555555556,-83.6686111111111,"chatterjee_2019"
"379",9.89555555555556,-83.6686111111111,"chatterjee_2019"
"380",9.89555555555556,-83.6686111111111,"chatterjee_2019"
"381",9.89555555555556,-83.6686111111111,"chatterjee_2019"
"382",9.89555555555556,-83.6686111111111,"chatterjee_2019"
"383",9.89555555555556,-83.6686111111111,"chatterjee_2019"
"384",9.89555555555556,-83.6686111111111,"chatterjee_2019"
"385",9.89555555555556,-83.6686111111111,"chatterjee_2019"
